InstanceId,Replication,NbPickers,NbAisles,StorageLocationAssignmentPolicy,BatchCapacity,Due time,NbOrders,UBILS,Cpu(s),NbBatchesInSol,UBCGH,LBRootAfterCuts,RootGap(%),NbColumns,SizePool,NbIterLP(roundsOfCuts),NbIterMasterPricing,NbIterFindInPool,InitialUBPool,LBBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePricing(s),TimePdyn(s),TimeMaster(s),TimeHeuristic(s),TimeInitTours(s),TimeMIP(s),TimeCuts(s),timeInitPool(s)
125.0,1.0,4.0,24.0,2.0,30.0,2.0,100.0,321718.0,15025.0,26.0,324468.0,205582.01,57.83,21913.0,12951.0,1.0,207.0,162.0,332132.0,205582.01,0.0,0.0,0.0,0.0,12993.89,169.33,0.91,164.95,21.32,600.9,0.0,600.84
126.0,1.0,5.0,24.0,2.0,30.0,3.0,100.0,349442.0,14631.0,27.0,348542.0,204823.63,70.17,23785.0,12201.0,1.0,215.0,162.0,359630.0,204823.63,0.0,0.0,0.0,0.0,12799.1,177.31,1.0,140.15,19.86,217.5,0.0,600.73
151.0,1.0,4.0,24.0,3.0,30.0,1.0,100.0,358618.0,15003.0,30.0,378824.0,128555.26,194.68,20663.0,5294.0,1.0,148.0,89.0,385274.0,128555.26,0.0,0.0,0.0,0.0,12673.25,161.09,0.68,229.69,20.85,600.46,0.0,607.53
152.0,1.0,4.0,24.0,3.0,30.0,2.0,100.0,361010.0,15013.0,28.0,366308.0,202142.3,81.21,17877.0,11846.0,1.0,165.0,116.0,372924.0,202142.3,0.0,0.0,0.0,0.0,12872.37,177.81,0.65,138.47,25.42,600.37,0.0,601.16
153.0,1.0,5.0,24.0,3.0,30.0,3.0,100.0,383112.0,15018.0,29.0,387088.0,228846.61,69.15,17587.0,9338.0,1.0,167.0,117.0,393788.0,228846.61,0.0,0.0,0.0,0.0,12790.67,173.52,0.59,306.85,21.2,600.56,0.0,600.56
178.0,1.0,5.0,36.0,1.0,30.0,1.0,100.0,480888.0,15010.0,25.0,510588.0,0.0,,15645.0,5241.0,1.0,149.0,78.0,533274.0,0.0,0.0,0.0,0.0,0.0,12243.19,233.96,0.76,496.31,32.09,600.41,0.0,609.68
179.0,1.0,5.0,36.0,1.0,30.0,2.0,100.0,531724.0,15037.0,25.0,553044.0,0.0,,17443.0,5688.0,1.0,133.0,73.0,562688.0,0.0,0.0,0.0,0.0,0.0,12100.12,224.13,0.58,547.86,30.24,600.51,0.0,602.81
180.0,1.0,6.0,36.0,1.0,30.0,3.0,100.0,600422.0,15042.0,,,0.0,,16480.0,4858.0,1.0,134.0,78.0,,0.0,0.0,0.0,0.0,0.0,11928.28,223.28,0.87,702.5,32.27,600.4,0.0,610.14
205.0,1.0,5.0,36.0,2.0,30.0,1.0,100.0,451856.0,15030.0,27.0,470242.0,160638.87,192.73,20133.0,5551.0,1.0,140.0,74.0,490448.0,160638.87,0.0,0.0,0.0,0.0,12135.57,224.22,0.71,509.22,31.01,600.45,0.0,604.62
206.0,1.0,6.0,36.0,2.0,30.0,2.0,100.0,502722.0,14740.0,29.0,507516.0,243543.81,108.39,18221.0,9690.0,1.0,171.0,136.0,524064.0,243543.81,0.0,0.0,0.0,0.0,12769.42,248.56,0.64,178.86,30.56,306.47,0.0,600.64
207.0,1.0,7.0,36.0,2.0,30.0,3.0,100.0,503854.0,15012.0,28.0,508732.0,225491.32,125.61,19487.0,6983.0,1.0,168.0,118.0,525796.0,225491.32,0.0,0.0,0.0,0.0,12036.24,235.08,0.75,603.88,30.95,600.64,0.0,603.17
232.0,1.0,6.0,36.0,3.0,30.0,1.0,100.0,523364.0,14483.0,30.0,529706.0,117202.77,351.96,20450.0,7911.0,1.0,166.0,124.0,535900.0,117202.77,0.0,0.0,0.0,0.0,12248.03,249.21,0.56,218.73,34.22,77.48,0.0,600.55
233.0,1.0,6.0,36.0,3.0,30.0,2.0,100.0,497086.0,15025.0,29.0,504674.0,202797.31,148.86,17395.0,9506.0,1.0,181.0,136.0,520666.0,202797.31,0.0,0.0,0.0,0.0,12693.54,256.78,0.62,181.51,31.59,600.75,0.0,600.36
234.0,1.0,6.0,36.0,3.0,30.0,3.0,100.0,450494.0,15024.0,27.0,467620.0,62847.58,644.05,17532.0,5879.0,1.0,145.0,101.0,476182.0,62847.58,0.0,0.0,0.0,0.0,12033.81,226.63,0.62,714.01,31.35,600.49,0.0,603.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
