InstanceId,Replication,NbPickers,NbAisles,StorageLocationAssignmentPolicy,BatchCapacity,Due time,NbOrders,UBILS,Cpu(s),NbBatchesInSol,UBCGH,LBRootAfterCuts,RootGap(%),NbColumns,SizePool,NbIterLP(roundsOfCuts),NbIterMasterPricing,NbIterFindInPool,InitialUBPool,LBBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePricing(s),TimePdyn(s),TimeMaster(s),TimeHeuristic(s),TimeInitTours(s),TimeMIP(s),TimeCuts(s),timeInitPool(s)
115.0,1.0,5.0,24.0,2.0,15.0,1.0,100.0,440786.0,2514.91,48.0,437212.0,437182.53,0.01,5511.0,5169.0,3.0,48.0,48.0,442664.0,437173.13,0.0,0.0,24.0,0.0,1751.38,69.89,0.12,20.73,9.15,0.73,22.6,600.46
116.0,1.0,5.0,24.0,2.0,15.0,2.0,100.0,487356.0,2373.47,52.0,482316.0,482243.0,0.02,4469.0,4277.0,2.0,36.0,46.0,489698.0,482206.22,0.0,0.0,20.0,0.0,1623.12,78.87,0.09,17.63,9.03,1.37,14.07,600.27
117.0,1.0,6.0,24.0,2.0,15.0,3.0,100.0,426670.0,4595.94,47.0,426226.0,425972.0,0.06,5874.0,5244.0,3.0,74.0,63.0,434178.0,425893.71,0.0,0.0,26.0,1.0,3813.53,98.11,0.17,30.8,9.72,2.89,18.8,600.54
142.0,1.0,5.0,24.0,3.0,15.0,1.0,100.0,452266.0,14405.03,48.0,446276.0,446032.0,0.05,9235.0,4414.0,2.0,99.0,68.0,454614.0,446032.0,0.0,0.0,10.0,0.0,13560.98,153.9,0.25,42.94,10.48,3.23,6.0,600.38
143.0,1.0,5.0,24.0,3.0,15.0,2.0,100.0,449182.0,6089.3,47.0,443084.0,443084.0,0.0,6667.0,5401.0,2.0,78.0,49.0,452340.0,443064.0,0.0,0.0,3.0,0.0,5304.52,109.91,0.16,31.13,10.76,1.34,10.58,600.23
144.0,1.0,6.0,24.0,3.0,15.0,3.0,100.0,471632.0,14434.19,51.0,470294.0,449560.19,4.61,10655.0,4843.0,1.0,95.0,62.0,474740.0,449560.19,0.0,0.0,0.0,0.0,13537.54,140.17,0.29,44.07,11.11,20.38,0.0,600.68
169.0,1.0,6.0,36.0,1.0,15.0,1.0,100.0,708648.0,15003.09,48.0,693786.0,682021.6,1.72,9874.0,3071.0,1.0,113.0,31.0,720076.0,682021.6,0.0,0.0,0.0,0.0,12721.76,227.33,0.32,720.46,16.57,600.43,0.0,604.46
170.0,1.0,6.0,36.0,1.0,15.0,2.0,100.0,583298.0,14461.76,42.0,582794.0,467363.1,24.7,15797.0,6243.0,1.0,71.0,104.0,593476.0,467363.1,0.0,0.0,0.0,0.0,13200.9,183.08,0.44,103.4,16.97,53.46,0.0,600.18
196.0,1.0,6.0,36.0,2.0,15.0,1.0,100.0,559908.0,14406.29,46.0,553320.0,550201.45,0.57,8940.0,5196.0,1.0,110.0,87.0,564688.0,550201.45,0.0,0.0,0.0,0.0,13523.7,196.29,0.34,67.7,14.15,4.55,0.0,600.09
197.0,1.0,6.0,36.0,2.0,15.0,2.0,100.0,652180.0,3485.7,52.0,650470.0,650421.0,0.01,4938.0,3849.0,7.0,28.0,26.0,660982.0,649742.8,0.0,0.0,43.0,17.0,2662.94,147.69,0.08,18.31,13.34,2.72,49.09,600.2
198.0,1.0,7.0,36.0,2.0,15.0,3.0,100.0,547630.0,10867.73,43.0,541890.0,541756.0,0.02,10086.0,5462.0,3.0,120.0,83.0,553826.0,541435.39,0.0,0.0,40.0,0.0,9912.85,195.51,0.39,70.73,14.8,11.62,20.92,600.4
223.0,1.0,6.0,36.0,3.0,15.0,1.0,100.0,525258.0,14419.38,43.0,517924.0,481350.78,7.6,14267.0,4947.0,1.0,108.0,67.0,533126.0,481350.78,0.0,0.0,0.0,0.0,13162.28,210.67,0.55,117.68,16.79,4.25,0.0,600.2
224.0,1.0,6.0,36.0,3.0,15.0,2.0,100.0,614394.0,14413.33,49.0,610220.0,610009.33,0.03,8491.0,4999.0,2.0,93.0,62.0,619936.0,610009.33,0.0,0.0,15.0,0.0,13467.01,240.7,0.23,59.21,17.44,3.4,7.71,600.31
225.0,1.0,7.0,36.0,3.0,15.0,3.0,100.0,654416.0,1989.92,51.0,649296.0,649296.0,0.0,5032.0,3249.0,1.0,51.0,34.0,662252.0,649296.0,0.0,0.0,0.0,0.0,1123.32,102.09,0.11,40.86,16.48,1.46,5.0,601.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
