Instance;Instance;Instance;Instance;Instance;Instance;Instance;Solution;Solution;Solution;Solution
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;return;true;1.039;1.038,74;43,006
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;traversal;true;821;821;60,126
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;composite;true;741;741,16;139,207
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;optimal;false;832;821;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;largest_gap;true;864;863,91;2702,44
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;midpoint;true;903;902,72;322,993
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;return;true;1.084;1.083,52;224,372
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;traversal;true;917;917;1222,91
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_4.txt;30;24;4;composite;false;836;829;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;optimal;false;828;825;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;largest_gap;false;876;876;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;midpoint;true;896;896,31;2672,69
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;return;true;1.098;1.098;882,093
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;traversal;true;953;953;398,298
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_5.txt;30;24;5;composite;true;835;835;2583,15
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;optimal;false;850;841;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;largest_gap;true;876;876;1116,55
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;midpoint;true;908;907,53;210,602
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;return;false;1.129;1.128,45;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;traversal;false;956;943;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_6.txt;30;24;6;composite;false;864;853,60;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;optimal;false;820;816;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;largest_gap;true;859;859;618,409
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;midpoint;true;893;892,78;497,37
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;return;true;1.101;1.101,11;860,147
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;traversal;true;912;912;3494,82
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_7.txt;30;24;7;composite;false;845;826,93;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;optimal;true;860;860;3310,37
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;largest_gap;true;914;913,90;2573,33
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;midpoint;true;958;957,96;389,325
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;return;true;1.166;1.165,92;199,314
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;traversal;true;972;972;408,029
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_8.txt;30;24;8;composite;true;862;861,90;613,193
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;optimal;false;863;848;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;largest_gap;false;891;887,33;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;midpoint;false;925;923,70;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;return;true;1.154;1.154,00;1308,1
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;traversal;false;947;945;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_9.txt;30;24;9;composite;true;856;856;2940,78
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;optimal;true;758;758;211,919
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;largest_gap;true;797;797;47,817
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;midpoint;true;814;813,53;16,153
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;return;true;1.079;1.078,80;65,786
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;traversal;true;859;859;65,411
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_10.txt;30;24;10;composite;true;768;767,60;258,503
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;optimal;false;1.196;1.187;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;largest_gap;true;1.259;1.258,70;2365,65
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;midpoint;true;1.317;1.316,71;687,214
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;return;true;1.589;1.588,71;962,098
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;traversal;false;1.327;1.326;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_1.txt;40;24;1;composite;false;1.210;1.208;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;optimal;false;1.056;1.055;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;largest_gap;true;1.127;1.127;824,455
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;midpoint;true;1.158;1.158,00;301,488
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;return;true;1.434;1.433,94;320,226
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;traversal;true;1.156;1.156;128,057
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_2.txt;40;24;2;composite;true;1.062;1.062;1155,13
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;optimal;true;1.189;1.189;1328,62
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;largest_gap;true;1.274;1.274;44,25
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;midpoint;true;1.312;1.311,60;85,138
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;return;true;1.584;1.584,40;78,413
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;traversal;true;1.313;1.313;100,392
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_3.txt;40;24;3;composite;true;1.200;1.200,40;181,215
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;optimal;true;1.075;1.075;667,082
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;largest_gap;true;1.154;1.154,00;357,389
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;midpoint;true;1.195;1.194,80;106,972
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;return;true;1.410;1.409,60;185,239
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;traversal;true;1.200;1.200;149,529
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_4.txt;40;24;4;composite;true;1.082;1.082,00;362,914
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;optimal;true;1.088;1.088;2241,08
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;largest_gap;true;1.118;1.118;176,315
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;midpoint;true;1.166;1.166,40;149,727
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;return;true;1.434;1.434,40;53,05
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;traversal;true;1.224;1.224;126,402
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_5.txt;40;24;5;composite;true;1.092;1.092,32;454,488
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;optimal;true;1.136;1.136;2217,75
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;largest_gap;true;1.200;1.200;245,518
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;midpoint;true;1.240;1.240,31;272,336
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;return;true;1.524;1.524,30;225,59
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;traversal;true;1.300;1.300;335,599
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_6.txt;40;24;6;composite;true;1.142;1.141,60;172,378
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;optimal;true;1.128;1.128;3281,39
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;largest_gap;true;1.188;1.187,53;305,712
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;midpoint;true;1.242;1.242;1097,56
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;return;true;1.498;1.497,91;158,294
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;traversal;true;1.265;1.265;59,006
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_7.txt;40;24;7;composite;true;1.132;1.132,31;1279,45
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;optimal;true;1.034;1.034;838,738
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;largest_gap;true;1.080;1.079,60;203,708
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;midpoint;true;1.114;1.114,40;159,65
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;return;true;1.458;1.457,95;390,154
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;traversal;true;1.188;1.188;1286,61
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_8.txt;40;24;8;composite;true;1.042;1.041,52;733,866
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;optimal;false;1.003;992;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;largest_gap;false;1.054;1.048;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;midpoint;false;1.092;1.088;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;return;false;1.392;1.390,03;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;traversal;false;1.181;1.167;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_9.txt;40;24;9;composite;false;1.022;1.012,17;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;optimal;false;1.129;1.112;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;largest_gap;false;1.183;1.180;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;midpoint;true;1.216;1.215,51;1411,48
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;return;true;1.502;1.501,60;138,934
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;traversal;true;1.267;1.267;998,38
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_40_10.txt;40;24;10;composite;false;1.125;1.123,50;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;optimal;false;1.383;1.382;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;largest_gap;true;1.451;1.451,15;334,563
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;midpoint;true;1.484;1.483,93;182,393
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;return;true;1.938;1.938;70,191
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;traversal;true;1.581;1.581,11;329,165
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_1.txt;50;24;1;composite;true;1.400;1.400,32;1649,08
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;optimal;false;1.237;1.221;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;largest_gap;false;1.303;1.298;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;midpoint;false;1.366;1.356,30;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;return;false;1.706;1.703;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;traversal;false;1.362;1.362;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_2.txt;50;24;2;composite;false;1.242;1.231,84;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;optimal;false;1.346;1.346;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;largest_gap;true;1.436;1.435,91;1385,12
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;midpoint;true;1.489;1.488,71;975,982
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;return;true;1.882;1.882;954,863
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;traversal;true;1.515;1.515,11;447,291
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_3.txt;50;24;3;composite;true;1.357;1.357,20;1833,57
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;optimal;false;1.405;1.393;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;largest_gap;false;1.493;1.489,04;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;midpoint;true;1.540;1.539,53;1176,58
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;return;false;1.906;1.900;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;traversal;true;1.568;1.568;2421,13
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_4.txt;50;24;4;composite;false;1.408;1.401,74;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;optimal;false;1.454;1.451,62;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;largest_gap;true;1.555;1.554,72;1501,8
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;midpoint;true;1.601;1.600,80;510,029
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;return;true;1.962;1.962;1469,74
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;traversal;false;1.633;1.627,98;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_5.txt;50;24;5;composite;false;1.470;1.468,72;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;optimal;false;1.366;1.359,03;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;largest_gap;true;1.454;1.453,90;3261,04
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;midpoint;true;1.506;1.505,94;772,438
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;return;false;1.794;1.793;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;traversal;false;1.520;1.517;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_6.txt;50;24;6;composite;false;1.371;1.369,46;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_7.txt;50;24;7;optimal;false;1.180;1.167;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_7.txt;50;24;7;largest_gap;false;1.232;1.232;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_7.txt;50;24;7;midpoint;false;1.266;1.263,43;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_50_7.txt;50;24;7;return;true;1.616;1.616;1736,12
