instance_set,instance_name,reference_value,reference_runtime,reference_is_opt,reference_type,reference_source,reference_policy
BahceciOencan,Pr_20_1_20_Store1_25,123.2,0.164,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_26,112.0,0.196,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_27,102.4,0.142,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_28,133.2,0.202,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_29,123.2,0.171,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_30,125.2,0.148,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_01,66.4,0.108,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_02,75.2,0.095,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_03,66.4,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_04,99.2,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_05,113.2,0.17,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_06,97.2,0.096,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_07,103.2,0.169,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_08,107.2,0.135,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_09,99.2,0.131,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_10,97.2,0.126,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_11,101.2,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_12,93.2,0.132,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_13,129.2,0.137,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_14,107.2,0.127,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_15,83.2,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_16,91.2,0.094,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_17,93.2,0.106,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_18,77.2,0.094,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_19,85.2,0.136,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_20,85.2,0.132,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_21,101.2,0.121,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_22,73.2,0.086,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_23,83.2,0.143,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_24,71.2,0.072,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_25,83.2,0.077,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_26,105.2,0.157,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_27,69.2,0.055,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_28,89.2,0.102,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_29,75.2,0.1,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store2_30,95.2,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_01,76.0,0.177,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_02,78.4,0.139,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_03,58.8,0.1,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_04,74.8,0.11,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_05,58.4,0.14,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_06,86.4,0.101,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_07,85.6,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_08,87.2,0.094,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_09,86.4,0.107,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_10,51.2,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_11,53.2,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_12,43.6,0.118,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_13,58.8,0.094,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_14,44.4,0.108,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_15,59.2,0.085,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_16,65.2,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_17,41.6,0.096,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_18,95.2,0.095,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_19,83.2,0.112,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_20,91.2,0.115,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_21,58.0,0.1,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_22,43.6,0.08,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_23,57.2,0.111,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_24,81.6,0.11,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_25,72.8,0.093,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_26,57.2,0.095,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_27,65.2,0.134,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_28,94.4,0.131,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_29,82.4,0.116,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store3_30,91.2,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_01,105.2,0.143,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_02,107.2,0.114,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_03,83.2,0.074,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_04,83.2,0.093,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_05,89.2,0.1,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_06,89.2,0.13,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_07,85.2,0.115,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_08,87.2,0.115,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_09,92.0,0.128,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_10,85.2,0.137,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_11,81.2,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_12,96.0,0.167,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_13,89.2,0.146,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_14,91.2,0.127,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_15,87.2,0.214,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_16,91.2,0.088,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_17,107.2,0.113,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_18,97.2,0.121,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_19,89.2,0.121,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_20,85.2,0.12,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_21,89.2,0.106,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_22,101.2,0.153,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_23,89.2,0.121,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_24,85.2,0.138,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_25,85.2,0.109,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_26,81.2,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_27,93.2,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_28,87.2,0.164,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_29,89.2,0.119,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store4_30,97.2,0.125,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_01,104.4,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_02,80.8,0.138,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_03,76.0,0.131,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_04,81.6,0.133,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_05,89.2,0.128,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_06,77.6,0.101,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_07,89.6,0.161,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_08,76.4,0.1,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_09,78.0,0.112,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_10,107.2,0.101,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_11,76.8,0.115,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_12,74.0,0.084,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_13,84.4,0.156,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_14,72.0,0.073,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_15,95.2,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_16,72.0,0.145,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_17,98.4,0.116,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_18,93.2,0.11,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_19,87.6,0.121,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_20,92.4,0.091,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_21,98.4,0.086,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_22,69.6,0.098,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_23,113.2,0.14,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_24,99.2,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_25,60.8,0.089,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_26,101.2,0.131,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_27,68.0,0.113,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_28,68.8,0.114,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_29,66.0,0.073,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store5_30,90.4,0.135,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_01,183.6,0.981,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_02,161.6,0.246,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_03,173.6,0.446,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_04,171.6,0.298,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_05,172.4,0.505,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_06,165.2,0.44,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_07,158.0,0.182,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_08,165.6,0.879,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_09,162.8,0.259,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_10,151.6,0.308,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_11,174.0,0.311,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_12,167.6,0.24,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_13,172.4,0.264,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_14,166.4,0.354,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_15,147.6,0.254,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_16,175.6,0.228,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_17,169.6,1.389,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_18,181.6,0.198,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_19,171.6,1.329,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_20,176.0,0.423,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_21,184.4,0.836,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_22,163.2,0.727,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_23,169.6,0.459,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_24,174.4,1.108,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_25,183.6,0.258,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_26,156.0,0.935,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_27,146.4,0.321,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_28,176.4,0.59,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_29,164.8,0.84,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store1_30,177.6,0.209,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_01,110.0,0.512,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_02,114.8,0.109,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_03,104.0,0.093,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_04,136.8,0.262,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_05,166.4,1.109,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_06,136.8,0.343,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_07,155.6,0.632,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_08,152.8,0.296,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_09,145.6,0.129,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_10,143.6,0.271,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_11,147.6,0.262,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_12,141.6,0.477,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_13,179.6,0.465,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_14,155.6,3.074,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_15,133.6,0.64,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_16,130.8,0.199,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_17,120.4,0.208,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_18,126.4,0.497,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_19,133.6,0.313,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_20,129.6,0.255,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_21,137.6,0.3,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_22,121.6,0.151,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_23,122.8,0.798,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_24,115.6,0.13,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_25,120.0,0.179,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_26,148.8,0.182,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_27,122.4,2.291,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_28,131.6,0.156,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_29,116.8,0.122,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store2_30,126.4,0.344,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_01,109.2,0.389,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_02,99.2,0.162,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_03,76.0,0.133,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_04,101.6,0.119,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_05,86.0,0.158,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_06,111.2,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_07,108.4,0.162,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_08,102.8,0.191,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_09,111.2,0.205,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_10,71.2,0.156,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_11,76.0,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_12,62.4,0.112,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_13,78.0,0.119,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_14,71.2,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_15,86.0,0.257,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_16,90.8,0.193,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_17,68.4,0.134,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_18,120.0,0.118,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_19,106.0,0.124,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_20,120.8,0.484,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_21,74.8,0.14,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_22,64.4,0.144,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_23,80.0,0.171,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_24,106.4,0.142,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_25,91.6,0.113,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_26,80.0,0.094,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_27,97.6,0.976,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_28,137.6,0.181,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_29,110.8,0.192,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store3_30,123.6,0.304,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_01,149.6,0.2,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_02,120.4,0.174,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_03,142.4,1.596,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_04,140.0,0.485,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_05,143.6,0.532,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_06,146.4,0.248,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_07,148.8,0.383,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_08,152.4,0.517,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_09,149.6,0.285,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_10,143.6,0.176,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_11,129.6,0.354,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_2_10_Store4_12,127.2,0.306,True,optimum,Heßler & Irnich (2022),optimal
